id,trackName,artistName,albumName,populartySong,genres,populartyArtist
63,Riot,Säkert!,Facit,73,"['emo rap', 'miami hip hop']",92
50,Someone Like You,Billie The Vision & The Dancers,Someone Like You,79,"['british soul', 'pop', 'pop soul', 'uk pop']",85
19,Hon dansar vidare i livet,Hov1,Gudarna på Västerbron,62,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",72
21,Hornstullsstrand,Hov1,Vindar på Mars,60,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",72
20,Dö ung,Hov1,Vindar på Mars,56,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",72
18,Auf wiedersehen,Hov1,Gudarna på Västerbron,54,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",72
1,Svag,Victor Leksell,Fånga mig när jag faller,74,"['swedish idol pop', 'swedish pop']",70
0,Ha dig igen,Victor Leksell,Fånga mig när jag faller,60,"['swedish idol pop', 'swedish pop']",70
72,Jag såg det,Linus Hasselberg,"Granada, Granada",63,"['classic swedish pop', 'swedish pop']",69
26,Snälla bli min,Veronica Maggio,Satan i gatan,58,"['classic swedish pop', 'swedish pop']",67
29,Mitt hjärta blöder,Veronica Maggio,Satan i gatan,50,"['classic swedish pop', 'swedish pop']",67
27,Låtsas som det regnar,Veronica Maggio,Handen i fickan fast jag bryr mig,46,"['classic swedish pop', 'swedish pop']",67
28,Mörkt - Bonus Track,Veronica Maggio,Handen i fickan fast jag bryr mig,46,"['classic swedish pop', 'swedish pop']",67
30,Vi kommer alltid ha Paris,Veronica Maggio,Satan i gatan,44,"['classic swedish pop', 'swedish pop']",67
67,Kvällens sista cigarrett,Veronica Maggio,Vatten och bröd,38,"['classic swedish pop', 'swedish pop']",67
2,Hjärter Dams sista sång,Lars Winnerbäck,Vatten under broarna,45,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",63
86,Trubbel,Eldkvarn,Brott lönar sig alltid,38,"['classic swedish pop', 'gothenburg indie', 'swedish indie rock', 'swedish pop']",63
4,Från kylan in i värmen - Single Version,Lars Winnerbäck,Utanför album 1,36,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",63
6,En stannfågel ger sig av,Lars Winnerbäck,Tänk om jag ångrar mig och sen ångrar mig igen,35,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",63
3,Min Älskling Har Ett Hjärta Av Snö,Lars Winnerbäck,Söndermarken,34,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",63
7,Lång dag,Lars Winnerbäck,Utanför album 1,20,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",63
44,Kärleken väntar,Anna Ternheim,Kärleken väntar,51,"['classic swedish pop', 'swedish alternative rock', 'swedish indie rock', 'swedish pop']",62
15,Forever Young,Thomas Stenström,Fulkultur,56,['swedish pop'],61
79,Bjurö klubb,Laleh,Me and Simon,39,['swedish pop'],61
24,Ingen fick se hur vackra vi var,Thomas Stenström,Fulkultur,36,['swedish pop'],61
