,trackName,artistName,albumName,populartySong,genres,populartyArtist
0,Linus Hasselberg,"Granada, Granada",Lila grusvägen vid Río Genil,35,[],26
1,Matisyahu,Youth,Jerusalem,49,['reggae fusion'],56
2,Lord Huron,Strange Trails,Fool for Love,83,"['indie folk', 'stomp and holler']",71
3,Charlie Cunningham,Minimum,Minimum,64,"['british singer-songwriter', 'indie folk']",53
4,Birdy,Live in London,The a Team - Live at the Tabernacle,71,['pop'],67
5,Peter LeMarc,LeMarc - Klassiker,Little Willie John,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter', 'swedish soul']",45
6,Robyn,Body Talk,Dancing On My Own,56,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'scandipop', 'swedish electropop', 'swedish pop']",61
7,Damien Rice,My Favourite Faded Fantasy,Colour Me In,60,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",58
8,Lars Winnerbäck,Utanför album 1,Så länge skutan kan gå,59,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",56
9,Panic! At The Disco,Pray for the Wicked,High Hopes,89,['modern rock'],78
10,Säkert!,Snooza,Snooza,43,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
11,Hampus Nessvold,Soundtrack of My Life,Soundtrack of My Life,44,[],26
12,James Gillespie,Don't Let Me Get Me,Don't Let Me Get Me,67,"['edm', 'pop', 'pop dance', 'tropical house']",79
13,Matisyahu,Akeda,Akeda,49,['reggae fusion'],56
14,Kygo,Firestone,Firestone,82,"['edm', 'pop', 'pop dance', 'tropical house']",79
15,Jack Vallier,Rebekah,Rebekah,46,[],33
16,Hozier,Take Me To Church,Take Me To Church,78,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']",72
17,Florence + The Machine,Between Two Lungs,You've Got The Love,76,"['baroque pop', 'pop', 'uk alternative pop']",75
18,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),89,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",84
19,The Ronettes,Presenting the Fabulous Ronettes Featuring Veronica,Be My Baby,69,"['brill building pop', 'classic girl group', 'soul']",55
20,Miss Li,Dancing the Whole Way Home,Dancing the Whole Way Home,74,"['classic swedish pop', 'swedish pop']",62
21,The Rasmus,Dead Letters,In the Shadows,67,"['finnish alternative rock', 'funk metal']",58
22,Bayside,Bayside,Devotion and Desire,65,['irish electronic'],50
23,Dagny,Ultraviolet EP,Too Young,39,"['classic swedish pop', 'danspunk', 'swedish rock-and-roll', 'vintage swedish pop']",31
24,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Sympathy,75,"['neo mellow', 'permanent wave', 'pop rock']",70
25,Imagine Dragons,Night Visions,Bleeding Out,88,"['modern rock', 'rock']",86
26,Veronica Maggio,Den första är alltid gratis,Svart sommar,67,['swedish pop'],65
27,Thomas Stenström,Rör inte min kompis!,Kostym,69,['swedish pop'],61
28,Peter Sarstedt,The Lost Album,Where Do You Go To (My Lovely) [Re-Recorded],54,['british folk'],42
29,1900,Tekno,Melodier med krökta ryggar,41,[],28
30,Lady Gaga,Revamp: The Songs Of Elton John & Bernie Taupin,Your Song,85,"['art pop', 'dance pop', 'pop']",83
31,Bastille,Bad Blood,Oblivion,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
32,Imagine Dragons,Night Visions,Selene,88,"['modern rock', 'rock']",86
33,Bright Eyes,"I'm Wide Awake, It's Morning",First Day Of My Life,61,"['adult standards', 'brill building pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",50
34,Anna Ternheim,The Winter Tapes,To Be Gone - Live,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
35,Bo Kaspers Orkester,Så mycket bättre säsong 4 - Lills dag,Jag tycker inte om dig,51,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",49
36,Ison & Fille,Resumé,Genom allt 2,48,"['swedish hip hop', 'swedish pop', 'swedish trap pop']",42
37,Lukas Graham,Lukas Graham (Blue Album),Take The World By Storm,58,"['danish pop', 'pop', 'scandipop']",69
38,Fitz and The Tantrums,More Than Just a Dream,The Walker,73,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",66
39,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,80,"['album rock', 'british invasion', 'classic rock', 'rock']",77
40,America,Hearts,Sister Golden Hair,79,"['permanent wave', 'punk']",78
41,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Broadway,75,"['neo mellow', 'permanent wave', 'pop rock']",70
42,Imagine Dragons,Night Visions,Cha-Ching (Till We Grow Older),88,"['modern rock', 'rock']",86
43,Avicii,AVĪCI,Friend Of Mine (feat. Vargas & Lagola),86,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79
44,Bastille,Bad Blood,Bad Blood,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
45,Thomas Stenström,Rör inte min kompis!,Sthlm Blvd,69,['swedish pop'],61
46,Weyes Blood,Seven Words,Seven Words,64,"['art pop', 'experimental folk', 'indie pop']",54
47,Moddi,Set The House On Fire,House By The Sea,48,"['nordnorsk musikk', 'norske viser', 'norwegian indie', 'norwegian pop', 'norwegian rock', 'norwegian singer-songwriter']",36
48,Macklemore & Ryan Lewis,The Heist,Thin Line (feat. Buffalo Madonna),83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
49,Albin Johnsén,Hjärtan Av Guld,Hjärtan Av Guld,56,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",47
50,Danna Richards,Pumped Up Kicks (Cover),Pumped Up Kicks (Cover),18,[],7
51,Donavon Frankenreiter,Donavon Frankenreiter,Free,65,"['neo mellow', 'pop rock']",57
52,Loreen,Så mycket bättre 2020 - Tolkningarna,Jag är en vampyr - Så mycket bättre 2020,65,"['electropop', 'europop', 'eurovision', 'swedish pop']",52
53,MARINA,I'm a Ruin,I'm a Ruin,61,"['balkan trap', 'turbo folk']",56
54,Macklemore & Ryan Lewis,The Heist,Wing$,83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
55,Maggie Rogers,Heard It In A Past Life,Light On,69,"['indie pop', 'pop']",64
56,Daniel Adams-Ray,Thinking Of Sunshine,Thinking Of Sunshine,60,['swedish pop'],52
57,Low Roar,"Once in a Long, Long While...",Give Me an Answer,34,['icelandic indie'],51
58,Frida Hyvönen,Kvinnor och barn,Min stad,35,['swedish country'],36
59,Lisa Ekdahl,Så mycket bättre 2016 - Ted Gärdestads dag,Sol vind och vatten,50,"['classic swedish pop', 'swedish jazz', 'swedish pop']",48
60,Alex Cornell,Youtube Sessions,Boston,51,[],33
61,Band of Gold,Where's the Magic,I Wanna Dance with You Again,53,"['classic soul', 'motown']",39
62,Tones And I,Dance Monkey,Dance Monkey,80,"['australian pop', 'pop']",71
63,Anna Ternheim,Live In Stockholm,Only Those Who Love - Live,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
64,Calvin Harris,My Way,My Way,89,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",84
65,Jimmy Jansson från Poets,Disney Rariteter,"Jag finns kvar - Från ""Skattkammarplaneten""",33,['disney svenska'],14
66,jeremy messersmith,The Reluctant Graveyard,"A Girl, a Boy, and a Graveyard",46,['minneapolis indie'],35
67,Shelley FKA DRAM,Gahdamn!,$ (feat. Donnie Trumpet),63,"['pop rap', 'virginia hip hop']",61
68,Johnossi,Johnossi,Summerbreeze,52,"['swedish alternative rock', 'swedish indie rock']",43
