name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Finnsta 4,156,6,0.0,3615000,23173.076923076922,2019-3-17,Västerås kommun,Finnsta,Villa
Stålverksgatan 5,124,6,0.0,2575000,20766.129032258064,2019-3-16,Västerås kommun,Bäckby,Villa
Katrinelundsvägen 20,59,5,2557.0,1300000,22033.898305084746,2019-3-15,Västerås kommun,Karlsdal,Bostadsrättslägenhet
Enhagsvägen 11,167,6,0.0,4600000,27544.91017964072,2019-3-15,Västerås kommun,Enhagen,Villa
Åmänningevägen 42,91,4,7000.0,1400000,15384.615384615385,2019-3-15,Västerås kommun,Hagaberg,Bostadsrättslägenhet
Malmabergsgatan 81A,56,2,3371.0,1050000,18750.0,2019-3-15,Västerås kommun,Malmaberg,Bostadsrättslägenhet
Jakobsgatan 52A,74,5,4711.0,1225000,16554.054054054053,2019-3-15,Västerås kommun,Pettersberg,Bostadsrättslägenhet
Vildrosgatan 49,84,3,5121.0,975000,11607.142857142857,2019-3-15,Västerås kommun,Vildrosgatan 49,Bostadsrättslägenhet
Blomstergatan 10,69,3,4165.0,1450000,21014.492753623188,2019-3-15,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Mesangatan 2,116,5,5519.0,3495000,30129.310344827587,2019-3-15,Västerås kommun,Öster mälarstrand,Bostadsrättslägenhet
Hyacintvägen  29,135,5,0.0,2835000,21000.0,2019-3-15,Västerås kommun,Norra gryta,Radhus
Kronvägen  33B,136,5,0.0,5400000,39705.882352941175,2019-3-15,Västerås kommun,Ormberget,Villa
Markörgatan 4D,75,3,3859.0,1550000,20666.666666666668,2019-3-14,Västerås kommun,Haga,Bostadsrättslägenhet
Valhallagatan 21A,88,3,2795.0,3300000,37500.0,2019-3-14,Västerås kommun,Stallhagen,Bostadsrättslägenhet
Syrenvägen 121,70,2,3660.0,1200000,17142.85714285714,2019-3-14,Västerås kommun,Önsta gryta,Bostadsrättslägenhet
Stenhagsgatan 4,62,2,3185.0,1420000,22903.225806451614,2019-3-14,Västerås kommun,Viksäng,Bostadsrättslägenhet
Östra tullgatan 2,60,2,3699.0,1960000,32666.666666666668,2019-3-14,Västerås kommun,Östermalm,Bostadsrättslägenhet
Härnevigatan 15B,53,5,2628.0,1275000,24056.603773584906,2019-3-13,Västerås kommun,Skiljebo,Bostadsrättslägenhet
Morkullegatan 22,46,2,2527.0,760000,16521.739130434784,2019-3-13,Västerås kommun,Råby,Bostadsrättslägenhet
Bangatan 53,63,5,3134.0,1285000,20396.825396825396,2019-3-13,Västerås kommun,Nordanby,Bostadsrättslägenhet
Labradorvägen 6,88,5,4309.0,1280000,14545.454545454546,2019-3-13,Västerås kommun,Önsta gryta,Bostadsrättslägenhet
Pastellvägen 27,123,5,0.0,2900000,23577.235772357722,2019-3-13,Västerås kommun,Erikslund,Villa
