name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Stadsträdgårdsgatan 12,109,5,5 373,4850000,44495.4128440367, 4 sep. 2024, Västerås kommun,Stadsträdgården / framnäs,Other
Knutsgatan 10A,103,4,6 160,3150000,30582.52427184466, 3 sep. 2024, Västerås kommun,Centralt,Other
Stentorpsgatan 22B,26,1,2 048,390000,15000.0, 3 sep. 2024, Västerås kommun,Malmaberg,Other
Askholmsvägen 20A,133,5,0,9800000,73684.21052631579, 3 sep. 2024, Västerås kommun,Tidö-lindö,Villa
Iduns väg 5,153,5,0,3350000,21895.42483660131, 3 sep. 2024, Västerås kommun,Irsta,Villa
Agnegatan 12C,43,1,1 958,1200000,27906.976744186046, 3 sep. 2024, Västerås kommun,Blåsbo,Other
Skälbygatan 159,119,5,0,2700000,22689.0756302521, 2 sep. 2024, Västerås kommun,Skälby,Villa
KASSELGATAN 1B,77,3,4 593,2500000,32467.532467532466, 2 sep. 2024, Västerås kommun,Lillhamra,Other
Neptungatan 4,77,3,4 718,3100000,40259.74025974026, 2 sep. 2024, Västerås kommun,Öster mälarstrand,Other
Annedalsgatan 3,212,6,0,7300000,34433.96226415094, 31 aug. 2024, Västerås kommun,Annedal,Villa
SVÄRDSLILJEGATAN 13A,68,3,4 662,1000000,14705.882352941177, 31 aug. 2024, Västerås kommun,Gideonsberg,Other
Nybomsgatan 3AD,92,4,0,3250000,35326.086956521736, 31 aug. 2024, Västerås kommun,Freja,Radhus
Ägirgatan 8,84,3,5 942,3170000,37738.09523809524, 31 aug. 2024, Västerås kommun,Öster mälarstrand,Other
Drottninggatan 32D,34,1,3 384,730000,21470.58823529412, 31 aug. 2024, Västerås kommun,Lustigkulla,Other
Lövhagsgatan 51,61,2,4 408,526000,8622.95081967213, 30 aug. 2024, Västerås kommun,Råby,Other
STENTORPSGATAN 15A,51,2,3 045,915000,17941.176470588234, 30 aug. 2024, Västerås kommun,Malmaberg,Other
REGEMENTSGATAN 24,77,3,2 677,1790000,23246.753246753247, 30 aug. 2024, Västerås kommun,Viksäng,Other
Källgatan 9B,62,2,2 696,1995000,32177.41935483871, 30 aug. 2024, Västerås kommun,City,Other
Snorregatan 6,107,4,0,2800000,26168.22429906542, 30 aug. 2024, Västerås kommun,Irsta,Villa
Kristiansborgsallén 1A,48,2,3 279,1395000,29062.5, 30 aug. 2024, Västerås kommun,Centralt/kristiansborg,Other
Rekylgatan 2,36,1,2 901,695000,19305.555555555555, 30 aug. 2024, Västerås kommun,Haga,Other
GUNNILBOGATAN 22B,92,4,3 672,1995000,21684.782608695652, 30 aug. 2024, Västerås kommun,Malmaberg,Other
BENVÄGEN 54,86,4,5 448,830000,9651.162790697674, 30 aug. 2024, Västerås kommun,Bjurhovda,Other
Patentgatan 13,76,3,4 768,2625000,34539.47368421053, 30 aug. 2024, Västerås kommun,Tegnérlunden,Other
Regnmätargatan 26,122,4,0,4695000,38483.60655737705, 30 aug. 2024, Västerås kommun,Talltorp,Radhus
Knotavägen 33,88,4,6 584,1450000,16477.272727272728, 30 aug. 2024, Västerås kommun,Västerås,Other
Flisavägen 26,74,2,4 489,1100000,14864.864864864865, 30 aug. 2024, Västerås kommun,Västerås,Other
Härjedalsvägen 11,123,5,0,3900000,31707.317073170732, 30 aug. 2024, Västerås kommun,Önsta gryta,Radhus
Släggkastargatan 5,77,3,5 532,1850000,24025.974025974025, 30 aug. 2024, Västerås kommun,Rönnby,Other
Adolf Zethelius gata 9,78,3,4 957,660000,8461.538461538461, 30 aug. 2024, Västerås kommun,Bäckby,Other
Tujagatan 9 2-1002,54,2,3 956,1195000,22129.62962962963, 29 aug. 2024, Västerås kommun,Skiljebo äng,Other
Nybynäsvägen 4,54,2,0,3500000,64814.81481481482, 29 aug. 2024, Västerås kommun,Nybynäs,Villa
KARLFELDTSGATAN 90,108,4,0,3200000,29629.62962962963, 29 aug. 2024, Västerås kommun,Nordanby,Radhus
Julrosvägen 3,90,3,5 687,2000000,22222.222222222223, 29 aug. 2024, Västerås kommun,Gryta,Other
Åsgårdsgatan 18,102,5,0,3150000,30882.352941176472, 29 aug. 2024, Västerås kommun,Irsta,Villa
Älvkullevägen 38,152,6,0,5900000,38815.78947368421, 29 aug. 2024, Västerås kommun,Älvkullen,Radhus
Kaserngatan 85,75,3,3 498,1800000,24000.0, 29 aug. 2024, Västerås kommun,Viksäng,Other
Södra Ringvägen 2E,76,3,5 177,2900000,38157.89473684211, 29 aug. 2024, Västerås kommun,Centrum,Other
Ekevägen 13B,72,3,4 806,1695000,23541.666666666668, 29 aug. 2024, Västerås kommun,Skiljebo,Other
Sjöjungfrugatan 4,110,4,6 193,4650000,42272.72727272727, 29 aug. 2024, Västerås kommun,Öster mälarstrand,Other
SKYTTEGATAN 6A ,60,2,4 303,1150000,19166.666666666668, 29 aug. 2024, Västerås kommun,Haga,Other
Claréusgatan 14,78,3,5 369,3950000,50641.02564102564, 29 aug. 2024, Västerås kommun,Stallhagen,Other
Vegagatan 5A,41,2,3 500,990000,24146.341463414636, 29 aug. 2024, Västerås kommun,Vega,Other
Snytenvägen 31,118,5,0,4250000,36016.94915254237, 29 aug. 2024, Västerås kommun,Hagaberg,Villa
Timmermansgatan 3,156,5,7 081,5500000,35256.41025641026, 29 aug. 2024, Västerås kommun,Centrum,Other
Källhagsgatan 4B,36,1,2 705,725000,20138.88888888889, 29 aug. 2024, Västerås kommun,Haga,Other
Klyvargatan 10,111,4,5 713,4125000,37162.16216216216, 29 aug. 2024, Västerås kommun,Öster mälarstrand,Other
Vetterslundsgatan 70,97,4,7 100,1000000,10309.278350515464, 29 aug. 2024, Västerås kommun,Vetterslund,Other
Klockartorpsgatan 18F,126,4,5 200,3895000,30912.698412698413, 29 aug. 2024, Västerås kommun,Klockartorpet,Radhus
Åsgränd 3,111,5,0,1050000,9459.45945945946, 2 sep. 2024, Hallstahammars kommun,Kolbäck,Villa
Nibblegatan 13,72,2,5 533,675000,9375.0, 29 aug. 2024, Hallstahammars kommun,Hallstahammar,Other
Västtunagatan 42A,58,2,3 649,375000,6465.517241379311, 29 aug. 2024, Hallstahammars kommun,Hallstahammar,Other
Snevringevägen 62,97,4,7 542,600000,6185.567010309278, 26 aug. 2024, Hallstahammars kommun,Lövboås,Other
Snevringevägen 64,59,2,4 686,475000,8050.847457627118, 25 aug. 2024, Hallstahammars kommun,Hallstahammar,Other
Snevringevägen 68,76,3,6 015,450000,5921.0526315789475, 21 aug. 2024, Hallstahammars kommun,Hallstahammar,Other
Västtunagatan 42a,39,1,2 651,385000,9871.794871794871, 15 aug. 2024, Hallstahammars kommun,Hallstahammar,Other
Sjövägen 11,231,8,0,5695000,24653.679653679654, 13 aug. 2024, Hallstahammars kommun,Gröndal,Villa
Norra Kapellgatan 18A,62,2,4 439,540000,8709.677419354839, 12 aug. 2024, Hallstahammars kommun,Hallstahammar,Other
Långgatan 4A,38,1,4 076,295000,7763.1578947368425, 8 aug. 2024, Hallstahammars kommun,Barnängen,Other
Fågelvägen 15,102,6,0,2450000,24019.607843137255, 6 aug. 2024, Hallstahammars kommun,Lövboås,Villa
BALDERSVÄGEN 33,177,7,0,3495000,19745.762711864405, 5 aug. 2024, Hallstahammars kommun,Hallstahammar,Villa
Oxelbacksvägen 8E,116,4,0,1300000,11206.896551724138, 1 aug. 2024, Hallstahammars kommun,Hallstahammar,Radhus
Bergslagsvägen 242C,140,5,0,4100000,29285.714285714286, 24 jul. 2024, Hallstahammars kommun,Näs,Villa
Norra Kapellg 10c,55,2,3 506,395000,7181.818181818182, 20 jul. 2024, Hallstahammars kommun,Hallstahammar,Other
Vallaregatan 5D,100,4,0,1995000,19950.0, 18 jul. 2024, Hallstahammars kommun,Fredhem,Radhus
Västtunagatan 44B,24,1,2 134,200000,8333.333333333334, 15 jul. 2024, Hallstahammars kommun,Hallstahammar,Other
Usterstavägen 9,129,5,0,2700000,20930.232558139534, 13 jul. 2024, Hallstahammars kommun,Näs,Villa
Rotevägen 3B,125,4,0,2100000,16800.0, 13 jul. 2024, Hallstahammars kommun,Hallstahammar,Villa
ELDSBODAVÄGEN 19A,55,2,2 800,650000,11818.181818181818, 11 jul. 2024, Hallstahammars kommun,Hallstahammar,Other
Bergslagsvägen 236,88,4,0,2100000,23863.636363636364, 10 jul. 2024, Hallstahammars kommun,Näs,Villa
Oxelbacksvägen 6D,116,5,0,1750000,15086.206896551725, 8 jul. 2024, Hallstahammars kommun,Hallstahammar,Radhus
Lövboåsvägen 6,62,2,4 407,590000,9516.129032258064, 5 jul. 2024, Hallstahammars kommun,Lövboås,Other
Vallaregatan 17,112,4,0,1950000,17410.714285714286, 5 jul. 2024, Hallstahammars kommun,Hallstahammar,Villa
Höjdgatan 12,110,4,6 401,1298000,11800.0, 5 jul. 2024, Hallstahammars kommun,Kolbäck,Villa
Finntorpet 19,32,2,0,850000,26562.5, 4 jul. 2024, Hallstahammars kommun,Hallstahammar,Fritidshus
