name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Finnsta 4,156,6,,3615000,,2019-3-17,Västerås kommun,Finnsta,Villa
Stålverksgatan 5,124,6,,2575000,,2019-3-16,Västerås kommun,Bäckby,Friliggande villa
Katrinelundsvägen 20,59,5,2557,1300000,221849,2019-3-15,Västerås kommun,Karlsdal,Bostadsrättslägenhet
Enhagsvägen 11,167,6,,4600000,,2019-3-15,Västerås kommun,Enhagen,Villa
Åmänningevägen 42,91,4,7000,1400000,215317,2019-3-15,Västerås kommun,Hagaberg,Bostadsrättslägenhet
Malmabergsgatan 81A,56,2,3371,1050000,218750,2019-3-15,Västerås kommun,Malmaberg,Bostadsrättslägenhet
Jakobsgatan 52A,74,5,4711,1225000,216443,2019-3-15,Västerås kommun,Pettersberg,Bostadsrättslägenhet
Vildrosgatan 49,84,3,5121,975000,211607,2019-3-15,Västerås kommun,Vildrosgatan 49,Bostadsrättslägenhet
Blomstergatan 10,69,3,4165,1450000,221014,2019-3-15,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Mesangatan 2,116,5,5519,3495000,230000,2019-3-15,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Hyacintvägen  29,135,5,,2835000,,2019-3-15,Västerås kommun,Norra Gryta,Par/Rad/Kedjehus
Kronvägen  33B,136,5,,5400000,,2019-3-15,Västerås kommun,Ormberget,Villa
Markörgatan 4D,75,3,3859,1550000,220667,2019-3-14,Västerås kommun,Haga,Bostadsrättslägenhet
Valhallagatan 21A,88,3,2795,3300000,237500,2019-3-14,Västerås kommun,Stallhagen,Bostadsrättslägenhet
Syrenvägen 121,70,2,3660,1200000,217143,2019-3-14,Västerås kommun,Önsta Gryta,Bostadsrättslägenhet
Stenhagsgatan 4,62,2,3185,1420000,222903,2019-3-14,Västerås kommun,Viksäng,Bostadsrättslägenhet
Östra tullgatan 2,60,2,3699,1960000,232667,2019-3-14,Västerås kommun,Östermalm,Bostadsrättslägenhet
Härnevigatan 15B,53,5,2628,1275000,223832,2019-3-13,Västerås kommun,Skiljebo,Bostadsrättslägenhet
Morkullegatan 22,46,2,2527,760000,216522,2019-3-13,Västerås kommun,Råby,Bostadsrättslägenhet
Bangatan 53,63,5,3134,1285000,220236,2019-3-13,Västerås kommun,Nordanby,Bostadsrättslägenhet
Labradorvägen 6,88,5,4309,1280000,214463,2019-3-13,Västerås kommun,Önsta Gryta,Bostadsrättslägenhet
Pastellvägen 27,123,5,,2900000,,2019-3-13,Västerås kommun,Erikslund,Villa
Stora gatan 2D,107,4,5665,2995000,227991,2019-3-13,Västerås kommun,Östermalm / centralt,Bostadsrättslägenhet
Flitiga Lisas Väg 23,135,5,,3100000,,2019-3-13,Västerås kommun,Norra Gryta,Par/Rad/Kedjehus
Storsegelgatan 1,89,5,4425,2750000,230726,2019-3-12,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Oxbacksgatan 6,80,3,4880,1655000,220688,2019-3-12,Västerås kommun,Oxbacken,Bostadsrättslägenhet
Kulstötargatan 20,135,5,,2565000,,2019-3-11,Västerås kommun,Rönnby,Par/Rad/Kedjehus
Bangatan 49 A,57,2,2672,1100000,219298,2019-3-11,Västerås kommun,NORDANBY,Bostadsrättslägenhet
Ringduvegatan 28,132,7,,1935000,,2019-3-10,Västerås kommun,Råby,Par/Rad/Kedjehus
