name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Stadsträdgårdsgatan 12,109,5,5 373,4850000,0, 4 sep. 2024, Västerås kommun,Stadsträdgården / Framnäs,Lägenhet
Knutsgatan 10A,103,4,6 160,3150000,0, 3 sep. 2024, Västerås kommun,Centralt,Lägenhet
Stentorpsgatan 22B,26,1,2 048,390000,0, 3 sep. 2024, Västerås kommun,Malmaberg,Lägenhet
Askholmsvägen 20A,133+97,5,,9800000,0, 3 sep. 2024, Västerås kommun,Tidö-Lindö,Villa
Iduns väg 5,153+31,5,,3350000,0, 3 sep. 2024, Västerås kommun,Irsta,Villa
Agnegatan 12C,43.6,1.5,1 958,1200000,0, 3 sep. 2024, Västerås kommun,Blåsbo,Lägenhet
Långängsvägen 21X,72,?,,1185000,0, 2 sep. 2024, Västerås kommun,Skälby,Övrigt
Skälbygatan 159,119,5,,2700000,0, 2 sep. 2024, Västerås kommun,Skälby,Villa
KASSELGATAN 1B,77,3,4 593,2500000,0, 2 sep. 2024, Västerås kommun,Lillhamra,Lägenhet
Neptungatan 4,77,3,4 718,3100000,0, 2 sep. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Annedalsgatan 3,212+115,6,,7300000,0, 31 aug. 2024, Västerås kommun,Annedal,Villa
SVÄRDSLILJEGATAN 13A,68.5,3,4 662,1000000,0, 31 aug. 2024, Västerås kommun,Gideonsberg,Lägenhet
Nybomsgatan 3AD,92+25,4,,3250000,0, 31 aug. 2024, Västerås kommun,Freja,Radhus
Ägirgatan 8,84,3,5 942,3170000,0, 31 aug. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Drottninggatan 32D,34.5,1,3 384,730000,0, 31 aug. 2024, Västerås kommun,Lustigkulla,Lägenhet
Lövhagsgatan 51,61,2,4 408,526000,0, 30 aug. 2024, Västerås kommun,Råby,Lägenhet
STENTORPSGATAN 15A,51,2,3 045,915000,0, 30 aug. 2024, Västerås kommun,Malmaberg,Lägenhet
REGEMENTSGATAN 24,77.9,3,2 677,1790000,0, 30 aug. 2024, Västerås kommun,Viksäng,Lägenhet
Källgatan 9B,62,2,2 696,1995000,0, 30 aug. 2024, Västerås kommun,City,Lägenhet
Snorregatan 6,107+86,4,,2800000,0, 30 aug. 2024, Västerås kommun,Irsta,Villa
Kristiansborgsallén 1A,48.5,2,3 279,1395000,0, 30 aug. 2024, Västerås kommun,Centralt/Kristiansborg,Lägenhet
Rekylgatan 2,36.5,1,2 901,695000,0, 30 aug. 2024, Västerås kommun,Haga,Lägenhet
GUNNILBOGATAN 22B,92.3,4,3 672,1995000,0, 30 aug. 2024, Västerås kommun,Malmaberg,Lägenhet
BENVÄGEN 54,86.7,4,5 448,830000,0, 30 aug. 2024, Västerås kommun,Bjurhovda,Lägenhet
Patentgatan 13,76,3,4 768,2625000,0, 30 aug. 2024, Västerås kommun,Tegnérlunden,Lägenhet
Regnmätargatan 26,122.5+20,4,,4695000,0, 30 aug. 2024, Västerås kommun,Talltorp,Radhus
Knotavägen 33,88.5,4,6 584,1450000,0, 30 aug. 2024, Västerås kommun,Västerås,Lägenhet
Flisavägen 26,74.9,2,4 489,1100000,0, 30 aug. 2024, Västerås kommun,Västerås,Lägenhet
Härjedalsvägen 11,123,5,,3900000,0, 30 aug. 2024, Västerås kommun,Önsta Gryta,Radhus
Släggkastargatan 5,77.8,3,5 532,1850000,0, 30 aug. 2024, Västerås kommun,Rönnby,Lägenhet
Adolf Zethelius gata 9,78,3,4 957,660000,0, 30 aug. 2024, Västerås kommun,Bäckby,Lägenhet
Tujagatan 9 2-1002,54,2,3 956,1195000,0, 29 aug. 2024, Västerås kommun,Skiljebo Äng,Lägenhet
Nybynäsvägen 4,54+47,2,,3500000,0, 29 aug. 2024, Västerås kommun,Nybynäs,Villa
KARLFELDTSGATAN 90,108,4,,3200000,0, 29 aug. 2024, Västerås kommun,Nordanby,Radhus
Julrosvägen 3,90,3,5 687,2000000,0, 29 aug. 2024, Västerås kommun,Gryta,Lägenhet
Åsgårdsgatan 18,102+102,5,,3150000,0, 29 aug. 2024, Västerås kommun,Irsta,Villa
Älvkullevägen 38,152,6,,5900000,0, 29 aug. 2024, Västerås kommun,Älvkullen,Radhus
Kaserngatan 85,75.5,3,3 498,1800000,0, 29 aug. 2024, Västerås kommun,Viksäng,Lägenhet
Södra Ringvägen 2E,76,3,5 177,2900000,0, 29 aug. 2024, Västerås kommun,Centrum,Lägenhet
Ekevägen 13B,72,3,4 806,1695000,0, 29 aug. 2024, Västerås kommun,Skiljebo,Lägenhet
Sjöjungfrugatan 4,110,4,6 193,4650000,0, 29 aug. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
SKYTTEGATAN 6A ,60.5,2,4 303,1150000,0, 29 aug. 2024, Västerås kommun,Haga,Lägenhet
Claréusgatan 14,78,3,5 369,3950000,0, 29 aug. 2024, Västerås kommun,Stallhagen,Lägenhet
Vegagatan 5A,41.5,2,3 500,990000,0, 29 aug. 2024, Västerås kommun,Vega,Lägenhet
Snytenvägen 31,118+9,5,,4250000,0, 29 aug. 2024, Västerås kommun,Hagaberg,Villa
Timmermansgatan 3,156,5,7 081,5500000,0, 29 aug. 2024, Västerås kommun,Centrum,Lägenhet
Källhagsgatan 4B,36,1,2 705,725000,0, 29 aug. 2024, Västerås kommun,Haga,Lägenhet
Klyvargatan 10,111,4,5 713,4125000,0, 29 aug. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Vetterslundsgatan 70,97.5,4,7 100,1000000,0, 29 aug. 2024, Västerås kommun,Vetterslund,Lägenhet
Klockartorpsgatan 18F,126,4,5 200,3895000,0, 29 aug. 2024, Västerås kommun,Klockartorpet,Radhus
Åsgränd 3,111+96,5,,1050000,0, 2 sep. 2024, Hallstahammars kommun,Kolbäck,Villa
Nibblegatan 13,72,2.5,5 533,675000,0, 29 aug. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Västtunagatan 42A,58,2,3 649,375000,0, 29 aug. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Snevringevägen 62,97,4,7 542,600000,0, 26 aug. 2024, Hallstahammars kommun,Lövboås,Lägenhet
Snevringevägen 64,59,2,4 686,475000,0, 25 aug. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Snevringevägen 68,76.5,3,6 015,450000,0, 21 aug. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Västtunagatan 42a,39.5,1,2 651,385000,0, 15 aug. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
Sjövägen 11,231.6+51.5,8,,5695000,0, 13 aug. 2024, Hallstahammars kommun,Gröndal,Villa
