name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Ringduvegatan 75,82,3,5 792,735000,0, 13 sep. 2024, Västerås kommun,Råby,Lägenhet
Neptungatan 6,50,2,3 986,1850000,0, 13 sep. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Johanneshöjden 8,102,4,5 498,2695000,0, 13 sep. 2024, Västerås kommun,Karlsdal,Lägenhet
Langenbergsgatan 6C,65,3,4 360,1695000,0, 13 sep. 2024, Västerås kommun,Blåsbo,Lägenhet
Hällkistgatan 17,114+114,5,,3975000,0, 13 sep. 2024, Västerås kommun,Bjurhovda,Villa
SIGGESBORGSGATAN 5D,98,4,4 502,2095000,0, 12 sep. 2024, Västerås kommun,Gideonsberg,Lägenhet
FÖRENINGSGATAN 45,202+90,6,,6650000,0, 12 sep. 2024, Västerås kommun,Blåsbo,Villa
Föreningsgatan 23,106.1,4,4 035,2900000,0, 12 sep. 2024, Västerås kommun,Blåsbo,Lägenhet
PLÅTVERKSGATAN 194,124,5,,2500000,0, 12 sep. 2024, Västerås kommun,Bäckby,Radhus
Stentorpsgatan 28A,59,2,4 106,700000,0, 12 sep. 2024, Västerås kommun,Malmaberg,Lägenhet
Svärdsliljegatan 9C,54,2,3 667,1145000,0, 12 sep. 2024, Västerås kommun,Västerås,Lägenhet
Almö-Lindö 119,52,?,Slutpris 795 000,795000,0, 12 sep. 2024, Västerås kommun,Almö-Lindö,Fritidshus
Älvkullevägen 10B,86,3,4 570,2395000,0, 12 sep. 2024, Västerås kommun,Älvkullen,Lägenhet
Lundbobergsvägen 42,94,4,,2350000,0, 12 sep. 2024, Västerås kommun,Tortuna,Villa
Jakthundsgatan 25,139,5,,3795000,0, 12 sep. 2024, Västerås kommun,Önsta Gryta,Radhus
Kopparbergsvägen 22A,77.5,2.5,5 081,2275000,0, 12 sep. 2024, Västerås kommun,Västerås,Lägenhet
VÄXTHUSVÄGEN 36,79+45,4,,3125000,0, 12 sep. 2024, Västerås kommun,Vega,Radhus
Åsenborgsvägen 42,23,2,,520000,0, 12 sep. 2024, Västerås kommun,Hälla koloniområde,Fritidshus
Älvdansvägen 15,119,5,6 413,2895000,0, 12 sep. 2024, Västerås kommun,Älvkullen,Radhus
Östra Tullgatan 6,80,3,5 851,2795000,0, 12 sep. 2024, Västerås kommun,Centrum / Östermalm,Lägenhet
FLISAVÄGEN 37,40,1,2 924,425000,0, 12 sep. 2024, Västerås kommun,Bjurhovda,Lägenhet
Benvägen 17,74,3,5 621,670000,0, 12 sep. 2024, Västerås kommun,Bjurhova,Lägenhet
Viksängsgatan 50,124,5,,3500000,0, 12 sep. 2024, Västerås kommun,Viksäng,Radhus
JAKOBSBERGSGATAN 14C,56,2,2 321,1450000,0, 11 sep. 2024, Västerås kommun,Jakobsberg,Lägenhet
Öster Mälarstrands allé 144,46,2,2 808,1695000,0, 11 sep. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Mesangatan 4,101.5,4,6 476,3300000,0, 11 sep. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Svinskärsvägen 15,63,3,,2150000,0, 11 sep. 2024, Västerås kommun,Kvicksund,Villa
ÖSTRA TULLGATAN 3,61,2,3 754,2300000,0, 11 sep. 2024, Västerås kommun,City,Lägenhet
Bomansgatan 28A,50.5,2,3 831,1315000,0, 11 sep. 2024, Västerås kommun,Kristiansborg,Lägenhet
Morkullegatan 4,68,2.5,4 404,795000,0, 11 sep. 2024, Västerås kommun,Råby,Lägenhet
Ringduvegatan 75,63,2,4 495,862500,0, 11 sep. 2024, Västerås kommun,Råby,Lägenhet
Ringduvegatan 4,109,4,,1695000,0, 11 sep. 2024, Västerås kommun,Råby,Radhus
Sjöjungfrugatan 2,49,2,3 306,2495000,0, 11 sep. 2024, Västerås kommun,Öster Mälarstrand /Notudden,Lägenhet
Haga parkgata 10B,66,3,4 700,1295000,0, 11 sep. 2024, Västerås kommun,Haga,Lägenhet
Havsfrugatan 3,88,4,5 318,3500000,0, 11 sep. 2024, Västerås kommun,Öster Mälarstrand,Lägenhet
Skultunavägen 46,164+91,7,,7195000,0, 11 sep. 2024, Västerås kommun,Blåsbo,Villa
Tujagatan 9 2-1303,49,2,3 733,1250000,0, 10 sep. 2024, Västerås kommun,Skiljebo Äng,Lägenhet
Åsgårdsgatan 13,151+2,5,,5050000,0, 10 sep. 2024, Västerås kommun,Irsta,Villa
Kaserngatan 47,103.5,4,5 135,2600000,0, 10 sep. 2024, Västerås kommun,Viksäng,Lägenhet
Knotavägen 23,71.7,2,4 590,630000,0, 10 sep. 2024, Västerås kommun,Bjurhovda,Lägenhet
Stafflivägen 9,125,5,,3495000,0, 10 sep. 2024, Västerås kommun,Eriksborg,Radhus
Stentorpsgatan 15C,59,2,4 229,1025000,0, 10 sep. 2024, Västerås kommun,Malmaberg,Lägenhet
Stockbåtsgatan 3,210,7,,4200000,0, 10 sep. 2024, Västerås kommun,Guldkullen/Bjurhovda,Villa
Liegatan 68,103,4,,2200000,0, 9 sep. 2024, Västerås kommun,Hammarby,Radhus
Linnégatan 10,30,1,1 862,980000,0, 9 sep. 2024, Västerås kommun,Centrum,Lägenhet
Jakobsbergsgatan 43B,84,3,4 227,2550000,0, 9 sep. 2024, Västerås kommun,Jakobsberg,Lägenhet
JAKOBSGATAN 44C,60.5,2,4 119,1015000,0, 9 sep. 2024, Västerås kommun,Jakobsberg,Lägenhet
HÖGVILTSVÄGEN 55,128,4,,3495000,0, 9 sep. 2024, Västerås kommun,Södra Gryta,Radhus
Rekylgatan 4,65,3,4 686,1500000,0, 9 sep. 2024, Västerås kommun,Haga,Lägenhet
Vångsta 58B,3 419,?,,1200000,0, 9 sep. 2024, Västerås kommun,Vångsta,Tomt
Vitsippevägen 12,94+40,5,,2100000,0, 13 sep. 2024, Hallstahammars kommun,Lövboås,Villa
Nibblegatan 11,67,2,4 960,380000,0, 13 sep. 2024, Hallstahammars kommun,Nibble,Lägenhet
VALLMOGATAN 33,155,6,,3050000,0, 11 sep. 2024, Hallstahammars kommun,Kolbäck,Villa
Åsvägen 6,145+72,7,,3800000,0, 9 sep. 2024, Hallstahammars kommun,Lustigkulla,Villa
Snevringevägen 70B,54.5,2,3 991,540000,0, 9 sep. 2024, Hallstahammars kommun,Hallstahammar,Lägenhet
