power.draw [W]
224.82 W
226.21 W
227.32 W
223.61 W
223.49 W
223.76 W
223.62 W
223.35 W
224.23 W
225.17 W
222.37 W
222.40 W
224.03 W
224.16 W
223.79 W
222.25 W
224.41 W
222.45 W
224.33 W
223.59 W
224.37 W
223.27 W
224.09 W
221.27 W
221.96 W
224.34 W
224.08 W
223.51 W
222.21 W
223.11 W
221.95 W
221.75 W
223.56 W
222.95 W
223.53 W
222.52 W
223.36 W
222.93 W
222.31 W
223.62 W
222.89 W
222.05 W
219.79 W
224.41 W
222.59 W
221.74 W
223.96 W
223.44 W
221.73 W
222.34 W
224.06 W
221.76 W
221.09 W
223.66 W
223.96 W
223.20 W
221.68 W
225.46 W
222.87 W
223.60 W
223.50 W
222.52 W
222.57 W
221.28 W
223.25 W
223.31 W
221.26 W
222.29 W
223.97 W
223.06 W
221.51 W
222.18 W
222.31 W
222.95 W
223.52 W
220.76 W
220.78 W
222.13 W
223.62 W
223.00 W
222.74 W
224.52 W
224.15 W
222.75 W
222.30 W
224.10 W
222.90 W
223.87 W
223.73 W
224.69 W
223.64 W
221.51 W
224.07 W
221.83 W
224.08 W
222.94 W
223.45 W
221.10 W
223.72 W
223.87 W
223.21 W
224.04 W
221.62 W
224.21 W
223.11 W
223.65 W
224.36 W
222.42 W
223.03 W
224.23 W
223.63 W
219.68 W
223.82 W
223.17 W
223.67 W
224.42 W
223.81 W
224.86 W
232.85 W
233.44 W
232.47 W
233.70 W
233.81 W
233.51 W
232.70 W
232.56 W
232.51 W
232.50 W
232.44 W
232.28 W
231.84 W
232.33 W
232.44 W
190.84 W
231.96 W
232.49 W
232.03 W
231.76 W
232.18 W
232.60 W
232.04 W
231.50 W
232.91 W
231.64 W
232.69 W
231.62 W
232.24 W
231.88 W
231.95 W
231.42 W
232.19 W
232.36 W
232.26 W
232.07 W
232.21 W
232.49 W
231.76 W
231.82 W
232.34 W
231.60 W
230.92 W
231.36 W
231.43 W
231.93 W
231.36 W
232.05 W
233.16 W
232.30 W
232.80 W
232.23 W
230.59 W
232.85 W
227.29 W
231.11 W
232.07 W
230.90 W
232.52 W
231.92 W
232.79 W
231.88 W
232.46 W
232.61 W
221.58 W
232.27 W
230.48 W
231.49 W
232.32 W
232.97 W
231.90 W
231.96 W
231.68 W
231.31 W
231.21 W
231.06 W
231.24 W
232.15 W
233.68 W
233.45 W
233.26 W
232.59 W
231.48 W
232.83 W
232.53 W
232.57 W
231.76 W
231.21 W
233.07 W
232.40 W
232.27 W
232.55 W
232.79 W
232.60 W
231.40 W
232.60 W
232.64 W
232.20 W
232.09 W
231.15 W
231.74 W
232.54 W
232.92 W
233.12 W
233.03 W
231.58 W
231.40 W
232.20 W
232.22 W
230.51 W
231.26 W
231.30 W
231.90 W
231.64 W
231.69 W
217.32 W
231.94 W
232.87 W
232.30 W
232.51 W
232.35 W
231.89 W
231.73 W
232.27 W
231.29 W
231.34 W
232.68 W
233.26 W
232.65 W
232.56 W
232.64 W
232.15 W
231.71 W
232.17 W
232.61 W
232.63 W
232.48 W
231.57 W
230.80 W
231.15 W
230.96 W
231.48 W
231.57 W
231.81 W
232.28 W
231.13 W
231.86 W
231.70 W
232.65 W
232.43 W
231.77 W
232.51 W
232.50 W
235.24 W
206.51 W
234.20 W
235.65 W
234.82 W
235.32 W
235.23 W
235.98 W
235.96 W
235.49 W
234.15 W
233.53 W
231.49 W
231.56 W
233.35 W
233.43 W
233.35 W
236.57 W
235.28 W
235.83 W
235.03 W
235.61 W
232.62 W
232.55 W
232.42 W
231.71 W
232.85 W
233.12 W
233.41 W
234.06 W
232.52 W
233.16 W
233.94 W
233.41 W
232.29 W
232.59 W
231.91 W
236.75 W
231.59 W
233.23 W
232.55 W
232.35 W
233.15 W
231.54 W
231.15 W
231.98 W
231.68 W
233.09 W
232.27 W
232.75 W
233.76 W
232.99 W
232.35 W
232.59 W
233.00 W
233.57 W
231.90 W
231.41 W
232.96 W
233.30 W
232.51 W
232.03 W
232.49 W
231.98 W
233.28 W
232.36 W
230.78 W
232.29 W
232.50 W
232.95 W
232.49 W
233.00 W
231.87 W
233.06 W
232.80 W
231.92 W
231.86 W
235.13 W
235.33 W
236.27 W
235.91 W
234.97 W
235.49 W
234.27 W
235.76 W
233.79 W
235.11 W
235.26 W
235.18 W
234.69 W
234.72 W
234.65 W
223.81 W
231.31 W
230.90 W
231.81 W
231.44 W
231.27 W
231.18 W
230.91 W
231.82 W
232.16 W
231.24 W
230.73 W
231.79 W
231.68 W
231.89 W
232.40 W
234.49 W
232.47 W
231.70 W
231.84 W
232.05 W
233.10 W
232.87 W
232.17 W
232.54 W
231.66 W
230.69 W
231.27 W
231.12 W
231.13 W
235.04 W
233.77 W
231.38 W
231.18 W
231.70 W
231.58 W
231.87 W
231.95 W
231.55 W
231.16 W
231.35 W
231.29 W
231.07 W
230.57 W
231.26 W
231.75 W
231.43 W
231.83 W
230.66 W
230.97 W
232.29 W
231.83 W
232.62 W
231.48 W
232.01 W
230.90 W
232.84 W
232.57 W
232.25 W
232.99 W
231.59 W
231.62 W
232.13 W
233.13 W
232.23 W
232.65 W
231.80 W
231.18 W
230.98 W
230.96 W
231.97 W
232.55 W
232.68 W
232.44 W
231.89 W
231.93 W
231.67 W
231.62 W
231.92 W
231.16 W
230.28 W
234.17 W
231.52 W
232.25 W
231.37 W
233.27 W
232.55 W
231.62 W
232.24 W
232.24 W
207.07 W
232.07 W
232.22 W
231.91 W
231.69 W
232.03 W
231.90 W
232.28 W
231.02 W
233.15 W
231.91 W
233.02 W
218.87 W
231.64 W
232.49 W
231.64 W
231.69 W
232.47 W
233.34 W
233.12 W
231.79 W
233.08 W
232.16 W
232.21 W
232.65 W
233.00 W
231.45 W
231.12 W
231.33 W
231.41 W
231.07 W
231.15 W
232.48 W
232.40 W
231.57 W
232.05 W
232.32 W
231.72 W
231.06 W
230.52 W
231.03 W
231.35 W
231.96 W
231.97 W
230.86 W
231.82 W
232.30 W
231.46 W
231.93 W
231.32 W
232.09 W
231.84 W
232.68 W
232.23 W
231.30 W
232.01 W
232.27 W
232.42 W
232.02 W
231.66 W
232.07 W
232.20 W
233.25 W
232.87 W
233.06 W
232.88 W
232.65 W
232.34 W
232.96 W
233.60 W
233.38 W
233.01 W
234.27 W
233.77 W
232.90 W
231.82 W
231.87 W
231.47 W
232.41 W
229.88 W
231.38 W
231.66 W
232.95 W
233.45 W
232.84 W
232.69 W
231.65 W
231.65 W
232.07 W
231.90 W
232.89 W
233.15 W
232.58 W
231.80 W
230.71 W
231.26 W
232.17 W
231.68 W
231.53 W
232.06 W
232.45 W
232.13 W
232.04 W
231.02 W
232.21 W
232.16 W
232.09 W
231.19 W
231.70 W
232.45 W
231.76 W
231.84 W
231.58 W
231.80 W
231.44 W
231.44 W
231.65 W
232.84 W
231.60 W
232.43 W
232.28 W
232.01 W
231.34 W
231.71 W
231.99 W
232.59 W
232.54 W
232.10 W
231.42 W
231.94 W
232.26 W
231.40 W
231.62 W
231.08 W
232.68 W
233.15 W
231.25 W
231.73 W
231.17 W
176.83 W
232.81 W
232.44 W
232.48 W
231.89 W
231.70 W
232.64 W
231.60 W
231.71 W
232.54 W
231.48 W
231.10 W
231.79 W
233.06 W
232.54 W
231.73 W
231.17 W
233.10 W
232.81 W
232.56 W
232.84 W
231.57 W
232.50 W
232.43 W
231.80 W
137.30 W
233.37 W
99.96 W
176.84 W
230.61 W
233.52 W
232.86 W
232.31 W
232.36 W
233.10 W
233.25 W
232.67 W
233.24 W
233.58 W
233.47 W
237.05 W
235.72 W
236.45 W
236.45 W
235.28 W
235.43 W
235.26 W
235.69 W
237.08 W
236.52 W
235.41 W
236.04 W
234.18 W
236.91 W
236.81 W
235.50 W
235.78 W
235.53 W
236.00 W
235.11 W
236.22 W
234.91 W
236.95 W
235.78 W
235.14 W
236.80 W
236.47 W
236.45 W
236.93 W
236.10 W
235.62 W
235.04 W
236.39 W
235.27 W
235.72 W
235.82 W
235.67 W
236.54 W
236.05 W
234.97 W
235.66 W
234.65 W
235.02 W
236.95 W
236.34 W
236.43 W
235.37 W
237.07 W
235.18 W
235.75 W
236.44 W
236.22 W
236.20 W
235.89 W
235.32 W
234.71 W
235.34 W
235.85 W
236.15 W
235.86 W
235.62 W
235.88 W
234.88 W
234.90 W
234.66 W
235.24 W
236.50 W
234.97 W
236.26 W
234.64 W
234.66 W
235.87 W
235.89 W
235.73 W
234.87 W
236.24 W
234.77 W
235.91 W
236.29 W
235.48 W
235.99 W
236.15 W
235.78 W
235.58 W
236.26 W
236.07 W
236.92 W
235.38 W
233.15 W
233.36 W
234.38 W
232.66 W
233.43 W
233.25 W
233.03 W
232.40 W
231.45 W
233.61 W
232.53 W
232.93 W
232.45 W
233.22 W
232.48 W
232.27 W
231.82 W
231.58 W
231.90 W
232.14 W
231.46 W
231.39 W
231.29 W
231.15 W
231.72 W
231.07 W
232.09 W
232.65 W
230.74 W
232.07 W
231.80 W
231.65 W
230.31 W
231.47 W
234.12 W
230.71 W
232.10 W
231.65 W
232.61 W
231.10 W
230.92 W
231.72 W
231.63 W
232.11 W
231.55 W
231.52 W
231.95 W
232.42 W
231.92 W
232.53 W
232.61 W
230.94 W
232.56 W
231.90 W
232.11 W
232.25 W
232.65 W
233.61 W
234.79 W
231.08 W
231.36 W
231.63 W
231.57 W
231.68 W
231.35 W
230.78 W
230.33 W
230.46 W
231.90 W
231.39 W
231.78 W
231.49 W
232.21 W
232.17 W
231.83 W
231.95 W
231.71 W
231.42 W
231.25 W
232.51 W
232.12 W
232.43 W
231.85 W
230.87 W
231.28 W
232.46 W
230.88 W
231.60 W
232.75 W
232.28 W
232.23 W
232.13 W
232.25 W
231.64 W
232.35 W
233.04 W
231.93 W
231.78 W
232.32 W
231.21 W
232.39 W
233.02 W
232.06 W
232.09 W
231.69 W
234.68 W
234.65 W
232.86 W
231.91 W
231.51 W
232.65 W
232.11 W
232.06 W
231.12 W
231.19 W
230.68 W
231.27 W
231.70 W
231.24 W
231.65 W
231.50 W
231.60 W
231.24 W
232.05 W
231.80 W
231.37 W
231.33 W
231.32 W
232.27 W
231.40 W
231.83 W
232.79 W
232.00 W
231.89 W
231.18 W
230.76 W
231.92 W
232.32 W
230.83 W
232.10 W
232.20 W
232.57 W
230.67 W
232.50 W
231.61 W
231.70 W
232.22 W
230.96 W
232.78 W
231.33 W
232.34 W
232.76 W
231.47 W
233.28 W
232.82 W
232.18 W
231.34 W
232.06 W
232.38 W
232.58 W
232.45 W
232.33 W
232.47 W
231.65 W
232.45 W
232.21 W
232.63 W
232.76 W
232.74 W
233.95 W
235.69 W
235.72 W
234.43 W
235.90 W
236.10 W
232.36 W
232.21 W
232.44 W
235.90 W
234.81 W
233.37 W
232.63 W
232.04 W
231.46 W
232.50 W
232.73 W
231.50 W
231.18 W
231.88 W
232.76 W
231.89 W
232.07 W
232.29 W
233.11 W
233.53 W
233.70 W
232.33 W
231.67 W
232.57 W
231.45 W
232.11 W
231.82 W
232.48 W
231.70 W
232.43 W
169.47 W
39.65 W
36.89 W
37.19 W
37.13 W
42.73 W
37.04 W
37.16 W
37.09 W
37.31 W
37.26 W
37.12 W
37.00 W
37.05 W
37.19 W
37.40 W
37.26 W
37.29 W
37.24 W
37.37 W
37.35 W
37.51 W
37.38 W
37.24 W
37.26 W
37.24 W
37.27 W
37.30 W
37.50 W
37.39 W
37.54 W
37.13 W
37.20 W
37.20 W
37.42 W
37.45 W
37.04 W
37.34 W
37.51 W
37.26 W
37.25 W
37.23 W
37.54 W
37.18 W
37.20 W
37.23 W
37.32 W
37.40 W
37.20 W
37.17 W
37.09 W
37.12 W
37.20 W
37.07 W
37.19 W
37.12 W
37.15 W
37.31 W
37.34 W
37.22 W
37.16 W
37.23 W
37.35 W
37.28 W
140.70 W
121.95 W
37.19 W
37.12 W
37.01 W
37.06 W
37.31 W
37.37 W
37.06 W
37.22 W
37.42 W
37.21 W
37.38 W
37.26 W
37.35 W
37.17 W
37.37 W
37.43 W
37.69 W
37.38 W
37.32 W
37.54 W
37.41 W
37.25 W
37.17 W
37.13 W
37.17 W
37.35 W
37.31 W
37.53 W
37.49 W
37.09 W
37.28 W
37.01 W
37.25 W
37.33 W
37.36 W
37.18 W
37.22 W
37.19 W
37.44 W
37.18 W
37.26 W
37.15 W
37.18 W
37.33 W
37.33 W
37.19 W
37.48 W
37.14 W
37.12 W
37.31 W
37.28 W
37.44 W
37.47 W
37.20 W
36.95 W
37.03 W
37.36 W
37.26 W
37.16 W
37.04 W
37.94 W
37.09 W
37.01 W
37.15 W
37.32 W
37.07 W
37.14 W
37.19 W
37.21 W
37.17 W
37.17 W
37.10 W
37.27 W
37.44 W
37.36 W
37.47 W
37.44 W
37.53 W
37.29 W
37.15 W
37.11 W
37.07 W
37.29 W
37.22 W
37.26 W
37.31 W
37.39 W
37.51 W
37.51 W
37.28 W
37.34 W
37.48 W
37.49 W
37.32 W
37.44 W
37.37 W
37.41 W
37.30 W
37.54 W
37.39 W
37.16 W
37.36 W
37.23 W
37.27 W
37.49 W
37.40 W
37.33 W
37.59 W
37.45 W
37.38 W
37.25 W
37.22 W
37.12 W
37.29 W
37.28 W
37.20 W
37.23 W
37.10 W
37.29 W
37.16 W
37.28 W
37.27 W
37.39 W
37.09 W
37.39 W
37.73 W
37.32 W
37.40 W
37.36 W
37.20 W
37.13 W
37.17 W
37.24 W
39.88 W
37.01 W
37.52 W
37.05 W
37.41 W
37.48 W
37.42 W
37.39 W
37.31 W
37.37 W
37.42 W
37.07 W
37.52 W
37.51 W
37.49 W
37.35 W
37.56 W
223.70 W
223.78 W
225.38 W
224.65 W
224.24 W
190.46 W
7.12 W
7.01 W
7.21 W
19.87 W
37.81 W
7.25 W
21.87 W
6.97 W
7.04 W
34.91 W
37.34 W
6.78 W
7.00 W
6.94 W
6.93 W
